Timestamp,Frame Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-13_19-26-48,1,No marker - using reference size,0.005313,1.28,2.353,1.665,8.505
2025-11-13_19-26-49,25,No marker - using reference size,0.005313,1.28,2.353,1.85,8.505
2025-11-13_19-26-50,49,No marker - using reference size,0.005313,3.251,2.55,5.714,7.582
2025-11-13_19-26-51,76,No marker - using reference size,0.005313,3.251,2.55,7.936,7.582
2025-11-13_19-26-52,98,No marker - using reference size,0.005313,3.246,2.55,6.179,7.584
2025-11-13_19-26-54,126,No marker - using reference size,0.005313,3.246,2.55,6.745,7.584
2025-11-13_19-26-55,154,No marker - using reference size,0.005313,1.275,2.353,2.038,8.508
2025-11-13_19-26-56,179,No marker - using reference size,0.005313,3.246,2.55,6.763,7.584
2025-11-13_19-26-57,203,No marker - using reference size,0.005313,3.246,2.55,4.927,7.584
2025-11-13_19-26-58,229,No marker - using reference size,0.005313,3.225,2.486,3.728,7.617
2025-11-13_19-26-59,281,Marker OK (ID 0),0.030156,15.771,3.86,0.714,2.373
2025-11-13_19-27-00,311,Marker OK (ID 0),0.029399,15.787,4.116,17.351,2.169
2025-11-13_19-27-01,342,Marker OK (ID 0),0.029269,15.864,4.068,21.523,2.193
2025-11-13_19-27-03,373,Marker OK (ID 0),0.029227,15.841,4.121,23.587,2.156
2025-11-13_19-27-04,403,Marker OK (ID 0),0.029225,15.84,4.121,23.702,2.156
2025-11-13_19-27-05,433,Marker OK (ID 0),0.029227,15.841,4.121,23.711,2.156
2025-11-13_19-27-06,463,Marker OK (ID 0),0.029227,15.841,4.15,24.662,2.133
2025-11-13_19-27-07,494,Marker OK (ID 0),0.029185,17.949,6.246,142.825,0.303
2025-11-13_19-27-08,526,Marker OK (ID 0),0.029227,15.9,4.121,19.176,2.146
2025-11-13_19-27-09,556,Marker OK (ID 0),0.029185,17.423,6.742,177.577,0.207
2025-11-13_19-27-10,587,Marker OK (ID 0),0.029185,15.906,3.998,12.8,2.242
2025-11-13_19-27-11,617,Marker OK (ID 0),0.029226,15.928,4.004,12.859,2.234
2025-11-13_19-27-12,644,Marker OK (ID 0),0.028888,16.004,4.015,23.353,2.213
2025-11-13_19-27-13,674,Marker OK (ID 0),0.028316,16.14,4.049,50.606,2.165
2025-11-13_19-27-14,706,Marker OK (ID 0),0.028199,16.073,5.837,148.964,0.882
2025-11-13_19-27-15,744,Marker OK (ID 0),0.028197,16.467,6.824,169.044,0.564
2025-11-13_19-27-16,774,Marker OK (ID 0),0.028198,16.327,4.145,29.463,2.062
2025-11-13_19-27-17,804,Marker OK (ID 0),0.028199,16.327,4.145,29.469,2.062
2025-11-13_19-27-18,832,Marker OK (ID 0),0.028199,16.327,4.145,29.481,2.062
2025-11-13_19-27-19,862,Marker OK (ID 0),0.028199,16.327,4.173,30.538,2.039
2025-11-13_19-27-20,890,Marker OK (ID 0),0.028237,16.462,4.179,31.152,2.018
2025-11-13_19-27-21,921,Marker OK (ID 0),0.028199,16.355,4.173,31.808,2.035
2025-11-13_19-27-22,948,Marker OK (ID 0),0.028239,16.661,4.038,34.016,2.113
2025-11-13_19-27-23,978,Marker OK (ID 0),0.028199,16.807,3.92,32.519,2.199
2025-11-13_19-27-24,1005,Marker OK (ID 0),0.028197,16.946,3.807,29.239,2.285
2025-11-13_19-27-25,1031,Marker OK (ID 0),0.028199,16.976,3.694,23.664,2.378
2025-11-13_19-27-26,1058,Marker OK (ID 0),0.028199,16.976,3.722,26.025,2.354
2025-11-13_19-27-27,1085,Marker OK (ID 0),0.028199,16.976,3.75,27.212,2.33
2025-11-13_19-27-28,1112,Marker OK (ID 0),0.028199,17.06,3.581,14.826,2.468
2025-11-13_19-27-29,1140,Marker OK (ID 0),0.028277,16.514,4.524,22.96,1.73
2025-11-13_19-27-31,1181,Marker OK (ID 0),0.028235,17.308,6.805,192.327,0.273
2025-11-13_19-27-32,1210,Marker OK (ID 0),0.028196,17.284,6.795,175.051,0.269
2025-11-13_19-27-33,1241,Marker OK (ID 0),0.028199,17.004,6.204,194.754,0.344
2025-11-13_19-27-34,1273,Marker OK (ID 0),0.028196,17.115,7.895,189.235,1.19
2025-11-13_19-27-35,1304,Marker OK (ID 0),0.028237,17.14,7.878,179.487,1.174
2025-11-13_19-27-36,1335,Marker OK (ID 0),0.028199,16.186,4.202,48.423,2.036
2025-11-13_19-27-37,1366,Marker OK (ID 0),0.028237,16.349,4.264,34.038,1.963
2025-11-13_19-27-38,1395,Marker OK (ID 0),0.028199,16.327,4.258,33.769,1.971
2025-11-13_19-27-39,1434,Marker OK (ID 0),0.028237,16.321,6.382,162.832,0.573
2025-11-13_19-27-40,1464,Marker OK (ID 0),0.028197,16.27,4.145,34.166,2.07
2025-11-13_19-27-41,1494,Marker OK (ID 0),0.028199,16.299,4.173,35.484,2.043
2025-11-13_19-27-42,1524,Marker OK (ID 0),0.028156,16.274,4.167,35.298,2.051
