Timestamp,Frame Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-13_19-20-04,1,Marker OK (ID 0),0.006138,5.665,5.543,108.974,5.715
2025-11-13_19-20-05,8,Marker OK (ID 0),0.005514,5.09,4.974,78.921,6.071
2025-11-13_19-20-06,16,Marker OK (ID 0),0.005528,5.102,4.991,79.764,6.062
2025-11-13_19-20-08,24,Marker OK (ID 0),0.006155,5.681,5.564,110.643,5.705
2025-11-13_19-20-09,32,Marker OK (ID 0),0.006161,5.692,5.569,111.013,5.699
2025-11-13_19-20-10,40,Marker OK (ID 0),0.006151,5.684,5.567,110.788,5.704
