Timestamp,Frame Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-13_20-10-10,1,No marker - using reference size,0.005313,3.4,2.55,9.01,7.518
2025-11-13_20-10-11,24,No marker - using reference size,0.005313,3.4,2.55,8.674,7.518
2025-11-13_20-10-12,47,No marker - using reference size,0.005313,3.4,2.55,8.38,7.518
2025-11-13_20-10-13,71,No marker - using reference size,0.005313,3.4,2.189,5.768,7.658
2025-11-13_20-10-14,97,No marker - using reference size,0.005313,3.4,2.55,7.755,7.518
2025-11-13_20-10-15,120,No marker - using reference size,0.005313,3.4,2.55,8.935,7.518
2025-11-13_20-10-16,142,No marker - using reference size,0.005313,3.4,2.55,8.783,7.518
2025-11-13_20-10-17,166,No marker - using reference size,0.005313,3.4,2.375,7.253,7.585
2025-11-13_20-10-18,190,No marker - using reference size,0.005313,2.359,2.401,3.921,8.021
2025-11-13_20-10-19,218,No marker - using reference size,0.005313,3.4,1.381,0.006,8.003
2025-11-13_20-10-20,243,No marker - using reference size,0.005313,3.4,2.55,7.464,7.518
2025-11-13_20-10-21,268,Marker OK (ID 0),0.028473,17.625,13.667,1625.941,6.04
2025-11-13_20-10-22,292,Marker OK (ID 0),0.02876,18.406,13.115,1410.273,5.591
2025-11-13_20-10-23,315,Marker OK (ID 0),0.028719,18.38,13.785,2445.353,6.153
2025-11-13_20-10-24,340,Marker OK (ID 0),0.02876,18.406,13.805,1974.577,6.171
2025-11-13_20-10-26,365,Marker OK (ID 0),0.028719,18.38,13.785,2546.916,6.153
2025-11-13_20-10-27,390,Marker OK (ID 0),0.028719,18.38,13.785,2594.278,6.153
2025-11-13_20-10-28,415,Marker OK (ID 0),0.028719,18.38,13.785,2557.711,6.153
