Timestamp,Frame Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-13_19-25-34,16,No marker - using reference size,0.005313,3.4,1.185,0.063,8.093
2025-11-13_19-25-35,43,No marker - using reference size,0.005313,3.4,1.185,0.063,8.093
2025-11-13_19-25-36,70,No marker - using reference size,0.005313,3.4,1.179,0.063,8.096
2025-11-13_19-25-37,98,No marker - using reference size,0.005313,3.4,1.944,1.655,7.757
2025-11-13_19-25-38,127,No marker - using reference size,0.005313,3.4,1.721,0.432,7.852
2025-11-13_19-25-39,155,Marker OK (ID 0),0.097349,52.568,35.63,1557.156,29.726
2025-11-13_19-25-40,181,Marker lost - using last scale,0.092189,59.001,33.741,10050.368,30.341
2025-11-13_19-25-41,208,Marker OK (ID 0),0.106438,68.12,29.058,2329.264,30.773
2025-11-13_19-25-42,237,Marker OK (ID 0),0.107834,69.014,27.39,3316.905,30.272
2025-11-13_19-25-43,268,Marker OK (ID 0),0.106201,67.969,24.957,3451.918,28.707
2025-11-13_19-25-45,299,Marker OK (ID 0),0.106676,68.272,16.748,752.947,25.764
2025-11-13_19-25-46,330,Marker OK (ID 0),0.103441,66.202,15.413,1768.588,24.465
2025-11-13_19-25-47,359,Marker OK (ID 0),0.091812,58.76,24.789,2126.606,25.033
2025-11-13_19-25-48,388,Marker OK (ID 0),0.092961,59.495,28.353,2170.343,27.243
2025-11-13_19-25-49,417,Marker OK (ID 0),0.090202,57.729,17.499,994.748,21.35
2025-11-13_19-25-50,446,Marker OK (ID 0),0.106456,68.132,27.359,702.085,29.915
2025-11-13_19-25-51,474,Marker OK (ID 0),0.107282,68.661,31.756,2747.462,32.422
2025-11-13_19-25-52,506,Marker OK (ID 0),0.104467,66.859,25.594,1080.724,28.561
2025-11-13_19-25-54,571,Marker lost - using last scale,0.111641,71.45,24.115,2.169,29.759
2025-11-13_19-26-03,833,Marker lost - using last scale,0.045579,29.17,9.754,0.011,6.217
2025-11-13_19-26-04,863,Marker lost - using last scale,0.045579,29.17,11.44,10.524,6.961
2025-11-13_19-26-05,893,Marker lost - using last scale,0.045579,29.17,14.813,396.031,8.956
2025-11-13_19-26-06,923,Marker lost - using last scale,0.045579,29.17,14.585,381.428,8.806
2025-11-13_19-26-07,954,Marker lost - using last scale,0.045579,29.17,12.853,96.779,7.732
2025-11-13_19-26-08,984,Marker lost - using last scale,0.045579,29.17,13.309,101.29,8.003
2025-11-13_19-26-09,1015,Marker lost - using last scale,0.045579,29.17,13.263,114.226,7.976
2025-11-13_19-26-10,1045,Marker lost - using last scale,0.045579,29.17,13.628,109.575,8.198
2025-11-13_19-26-11,1082,Marker lost - using last scale,0.045579,29.17,5.378,2.852,5.659
2025-11-13_19-26-18,1287,Marker OK (ID 0),0.053155,34.019,9.249,41.519,8.23
2025-11-13_19-26-19,1321,Marker OK (ID 0),0.058311,37.319,14.17,630.171,11.47
2025-11-13_19-26-29,1612,Marker lost - using last scale,0.052922,33.87,7.885,6.416,7.913
2025-11-13_19-26-30,1646,Marker lost - using last scale,0.052922,33.87,12.86,1.708,9.486
2025-11-13_19-26-31,1677,Marker lost - using last scale,0.052922,28.155,19.37,2710.14,11.981
2025-11-13_19-26-32,1707,Marker lost - using last scale,0.052922,33.87,19.37,2262.311,13.374
2025-11-13_19-26-34,1765,Marker lost - using last scale,0.052922,33.87,15.136,398.945,10.687
2025-11-13_19-26-35,1796,Marker lost - using last scale,0.052922,25.773,19.37,1954.081,11.543
2025-11-13_19-26-36,1828,Marker lost - using last scale,0.052922,33.87,8.256,274.383,7.965
2025-11-13_19-26-37,1860,Marker OK (ID 0),0.04662,29.837,5.035,3.617,6.026
