Timestamp,Frame Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-13_19-53-32,1,Marker OK (ID 0),0.029349,16.259,3.815,16.022,2.339
2025-11-13_19-53-33,27,Marker OK (ID 0),0.029349,16.259,3.815,16.012,2.339
2025-11-13_19-53-34,59,Marker OK (ID 0),0.029308,16.266,3.81,16.004,2.342
2025-11-13_19-53-36,82,Marker OK (ID 0),0.029308,16.236,3.81,16.054,2.346
2025-11-13_19-53-37,112,Marker OK (ID 0),0.029349,16.259,3.815,16.007,2.339
2025-11-13_19-53-38,143,Marker OK (ID 0),0.029308,16.237,3.81,15.966,2.346
2025-11-13_19-53-39,173,Marker OK (ID 0),0.029308,16.237,3.81,16.042,2.346
2025-11-13_19-53-40,204,Marker OK (ID 0),0.029308,16.237,3.81,16.045,2.346
2025-11-13_19-53-41,234,Marker OK (ID 0),0.029308,16.236,3.81,16.016,2.346
2025-11-13_19-53-42,265,Marker OK (ID 0),0.029349,16.259,3.815,16.129,2.339
