Timestamp,Frame Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-07 23:02:27,1,No marker - using reference size,0.005313,3.326,2.55,3.8,7.55
2025-11-07 23:02:28,23,No marker - using reference size,0.005313,3.326,2.55,7.505,7.55
2025-11-07 23:02:29,46,No marker - using reference size,0.005313,3.294,2.167,0.811,7.711
2025-11-07 23:02:30,74,No marker - using reference size,0.005313,2.577,1.084,0.254,8.47
2025-11-07 23:02:31,100,No marker - using reference size,0.005313,3.4,1.881,0.932,7.784
2025-11-07 23:02:32,125,No marker - using reference size,0.005313,3.4,1.355,0.451,8.015
2025-11-07 23:02:34,170,Marker OK (ID 0),0.040071,10.138,12.542,618.435,6.19
2025-11-07 23:02:35,196,Marker OK (ID 0),0.040429,14.595,12.129,935.879,4.942
2025-11-07 23:02:36,242,Marker OK (ID 0),0.04052,17.059,19.45,372.104,10.914
2025-11-07 23:02:37,272,Marker OK (ID 0),0.040574,18.096,13.227,827.064,5.676
2025-11-07 23:02:38,304,Marker OK (ID 0),0.040468,17.684,14.042,651.533,6.356
2025-11-07 23:02:39,331,Marker OK (ID 0),0.040515,22.324,13.572,752.928,6.39
2025-11-07 23:02:40,357,Marker OK (ID 0),0.040161,22.45,13.093,770.51,6.038
2025-11-07 23:02:42,407,Marker lost - using last scale,0.037248,16.091,14.378,514.979,6.672
2025-11-07 23:02:43,436,Marker OK (ID 0),0.036049,20.116,14.6,1293.304,6.939
2025-11-07 23:02:44,462,Marker lost - using last scale,0.035975,23.024,14.642,1319.021,7.351
2025-11-07 23:02:45,488,Marker lost - using last scale,0.035978,20.687,14.643,1330.115,7.029
2025-11-07 23:02:46,516,Marker OK (ID 0),0.036058,5.517,6.851,11.325,5.737
2025-11-07 23:02:51,648,Marker OK (ID 0),0.034153,19.331,10.553,824.428,3.526
2025-11-07 23:02:52,676,Marker OK (ID 0),0.034206,17.719,8.791,531.379,1.933
2025-11-07 23:02:53,701,Marker OK (ID 0),0.034209,17.72,8.792,530.807,1.934
2025-11-07 23:02:54,727,Marker lost - using last scale,0.036302,21.527,12.887,1037.771,5.716
2025-11-07 23:02:55,753,Marker lost - using last scale,0.036302,21.854,11.98,1052.126,5.065
2025-11-07 23:02:56,778,Marker OK (ID 0),0.034096,17.696,8.558,481.627,1.737
2025-11-07 23:02:57,806,Marker OK (ID 0),0.034096,17.696,8.558,482.231,1.737
2025-11-07 23:02:58,833,Marker OK (ID 0),0.034039,17.666,8.544,479.678,1.724
2025-11-07 23:02:59,860,Marker OK (ID 0),0.034039,17.666,8.544,480.227,1.724
2025-11-07 23:03:00,884,Marker OK (ID 0),0.034096,17.696,8.524,476.811,1.708
2025-11-07 23:03:01,906,Marker OK (ID 0),0.034039,17.7,8.51,475.79,1.696
2025-11-07 23:03:02,930,Marker OK (ID 0),0.034105,17.7,8.526,472.675,1.71
2025-11-07 23:03:03,958,Marker lost - using last scale,0.034207,18.198,12.349,550.751,4.94
2025-11-07 23:03:04,988,Marker lost - using last scale,0.034207,21.893,13.614,527.615,6.352
2025-11-07 23:03:05,1017,Marker lost - using last scale,0.034207,21.893,12.964,385.568,5.838
2025-11-07 23:03:07,1067,Marker lost - using last scale,0.034207,19.909,9.988,77.114,3.157
2025-11-07 23:03:08,1094,Marker lost - using last scale,0.081703,45.509,39.218,1091.41,30.649
2025-11-07 23:03:09,1123,Marker lost - using last scale,0.078557,33.308,24.51,100.373,16.954
2025-11-07 23:03:10,1155,Marker lost - using last scale,0.074074,47.407,22.741,625.808,19.792
2025-11-07 23:03:11,1183,Marker lost - using last scale,0.074074,47.407,19.333,210.418,17.927
2025-11-07 23:03:12,1210,Marker lost - using last scale,0.074074,38.444,19.333,5.899,14.738
2025-11-07 23:03:13,1238,Marker OK (ID 0),0.078863,41.167,21.293,128.657,16.835
2025-11-07 23:03:14,1267,Marker OK (ID 0),0.076465,39.915,20.645,131.466,16.029
2025-11-07 23:03:15,1296,Marker lost - using last scale,0.076165,41.205,20.641,802.99,16.444
2025-11-07 23:03:16,1323,Marker OK (ID 0),0.06691,37.135,19.404,2576.35,14.365
2025-11-07 23:03:17,1351,Marker lost - using last scale,0.066615,33.308,24.048,3969.245,16.606
2025-11-07 23:03:18,1376,Marker lost - using last scale,0.066615,31.642,25.713,11800.085,17.545
2025-11-07 23:03:20,1430,Marker lost - using last scale,0.066615,20.651,18.785,1729.242,10.461
2025-11-07 23:03:21,1459,Marker lost - using last scale,0.066615,32.908,17.453,1146.664,11.809
2025-11-07 23:03:22,1487,Marker lost - using last scale,0.066615,29.444,14.189,100.576,8.636
2025-11-07 23:03:23,1513,Marker OK (ID 0),0.033605,17.307,8.267,596.014,1.492
2025-11-07 23:03:24,1550,Marker OK (ID 0),0.034024,14.869,9.595,238.727,2.895
2025-11-07 23:03:25,1576,Marker OK (ID 0),0.033945,19.62,10.014,725.554,3.13
2025-11-07 23:03:27,1604,Marker OK (ID 0),0.034007,17.65,8.06,386.315,1.316
2025-11-07 23:03:28,1629,Marker OK (ID 0),0.034007,17.65,8.094,391.575,1.345
2025-11-07 23:03:29,1656,Marker OK (ID 0),0.034059,17.676,8.072,388.69,1.327
2025-11-07 23:03:30,1681,Marker OK (ID 0),0.034007,17.65,8.094,391.608,1.345
2025-11-07 23:03:31,1709,Marker OK (ID 0),0.034072,17.683,8.109,393.926,1.359
