Timestamp,Frame Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-13_20-14-25,1,No marker - using reference size,0.005313,3.257,2.55,5.724,7.58
2025-11-13_20-14-26,21,No marker - using reference size,0.005313,3.257,2.55,4.832,7.58
2025-11-13_20-14-27,42,No marker - using reference size,0.005313,3.257,2.55,4.438,7.58
2025-11-13_20-14-28,64,No marker - using reference size,0.005313,3.257,2.55,6.022,7.58
2025-11-13_20-14-29,88,No marker - using reference size,0.005313,3.145,2.55,1.664,7.628
2025-11-13_20-14-30,113,No marker - using reference size,0.005313,2.444,1.456,1.434,8.36
2025-11-13_20-14-31,139,No marker - using reference size,0.005313,3.4,0.792,0.072,8.281
2025-11-13_20-14-33,191,Marker OK (ID 0),0.028929,14.783,13.886,546.031,6.358
2025-11-13_20-14-34,236,Marker OK (ID 0),0.029055,10.779,4.126,3.78,3.785
2025-11-13_20-14-35,266,Marker OK (ID 0),0.029051,16.414,4.387,1.406,1.855
2025-11-13_20-14-37,325,Marker OK (ID 0),0.029056,16.882,4.388,29.78,1.804
2025-11-13_20-14-38,355,Marker OK (ID 0),0.029014,15.958,4.236,23.649,2.045
2025-11-13_20-14-39,384,Marker OK (ID 0),0.029014,15.958,4.207,22.689,2.068
2025-11-13_20-14-40,410,Marker OK (ID 0),0.029014,15.958,4.236,23.645,2.045
2025-11-13_20-14-41,436,Marker OK (ID 0),0.029014,15.958,4.236,23.595,2.045
2025-11-13_20-14-42,460,Marker OK (ID 0),0.029014,15.958,4.207,22.691,2.068
2025-11-13_20-14-43,487,Marker OK (ID 0),0.029014,15.958,4.236,23.66,2.045
2025-11-13_20-14-44,513,Marker OK (ID 0),0.029014,15.987,4.207,22.76,2.063
2025-11-13_20-14-45,539,Marker OK (ID 0),0.029014,15.958,4.236,23.63,2.045
