Timestamp,Frame Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-07 22:54:45,1,No marker - using reference size,0.005313,2.444,0.728,0.006,8.688
2025-11-07 22:54:46,22,No marker - using reference size,0.005313,3.288,2.55,4.283,7.566
2025-11-07 22:54:47,44,No marker - using reference size,0.005313,3.124,2.55,6.862,7.637
2025-11-07 22:54:48,65,No marker - using reference size,0.005313,3.283,2.55,5.746,7.568
2025-11-07 22:54:49,87,No marker - using reference size,0.005313,3.283,2.55,6.454,7.568
2025-11-07 22:54:50,108,No marker - using reference size,0.005313,2.922,2.55,2.948,7.724
2025-11-07 22:54:51,130,Marker OK (ID 0),0.070974,31.441,33.783,8061.351,23.937
2025-11-07 22:54:52,152,Marker lost - using last scale,0.074921,33.715,35.663,8883.448,25.768
2025-11-07 22:54:53,175,Marker lost - using last scale,0.07702,34.505,33.427,6382.817,24.102
2025-11-07 22:54:54,200,Marker OK (ID 0),0.074687,33.684,35.551,9522.78,25.673
2025-11-07 22:54:55,224,Marker lost - using last scale,0.069996,30.238,33.318,8014.219,23.405
2025-11-07 22:54:56,246,Marker lost - using last scale,0.069996,43.328,33.598,14004.106,25.959
2025-11-07 22:54:57,267,Marker lost - using last scale,0.069996,44.798,33.598,15327.302,26.301
2025-11-07 22:54:58,285,Marker lost - using last scale,0.069996,44.798,33.598,16545.296,26.301
2025-11-07 22:54:59,303,Marker lost - using last scale,0.069996,43.678,33.598,16643.805,26.039
2025-11-07 22:55:00,323,Marker lost - using last scale,0.069996,43.748,33.598,18162.99,26.055
2025-11-07 22:55:01,342,Marker lost - using last scale,0.069996,43.188,33.598,18223.163,25.927
2025-11-07 22:55:02,362,Marker lost - using last scale,0.069996,43.258,33.598,17132.52,25.943
2025-11-07 22:55:09,525,Marker lost - using last scale,0.031759,17.721,14.037,97.476,6.352
2025-11-07 22:55:10,550,Marker lost - using last scale,0.031759,16.356,10.957,240.351,3.795
2025-11-07 22:55:14,674,Marker OK (ID 0),0.040844,14.255,18.135,633.46,9.926
2025-11-07 22:55:18,767,Marker OK (ID 0),0.040829,20.659,13.024,1897.912,5.701
2025-11-07 22:55:19,808,Marker OK (ID 0),0.041082,20.048,12.818,1212.376,5.461
