Timestamp,Frame Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-13_19-30-33,1,Marker OK (ID 0),0.028158,16.106,5.209,130.633,1.276
2025-11-13_19-30-34,26,Marker OK (ID 0),0.028237,16.152,4.236,64.437,2.014
2025-11-13_19-30-35,54,Marker OK (ID 0),0.028199,16.101,4.455,77.077,1.848
2025-11-13_19-30-36,83,Marker OK (ID 0),0.028235,16.179,10.955,485.472,3.807
2025-11-13_19-30-37,112,Marker OK (ID 0),0.028158,16.219,4.702,93.587,1.634
2025-11-13_19-30-38,140,Marker OK (ID 0),0.028197,16.129,4.399,73.718,1.888
2025-11-13_19-30-39,168,Marker OK (ID 0),0.028197,16.129,4.23,63.96,2.022
2025-11-13_19-30-40,197,Marker OK (ID 0),0.028197,16.157,4.117,57.957,2.108
2025-11-13_19-30-41,225,Marker OK (ID 0),0.028197,16.157,4.06,55.059,2.154
2025-11-13_19-30-43,253,Marker OK (ID 0),0.028196,16.156,4.004,50.794,2.199
2025-11-13_19-30-44,280,Marker OK (ID 0),0.028199,16.158,4.004,51.018,2.199
2025-11-13_19-30-45,309,Marker OK (ID 0),0.028198,16.157,4.004,50.43,2.199
2025-11-13_19-30-46,338,Marker OK (ID 0),0.028197,16.242,4.201,62.466,2.028
2025-11-13_19-30-47,368,Marker OK (ID 0),0.028198,16.326,4.455,78.008,1.812
2025-11-13_19-30-48,395,Marker OK (ID 0),0.028197,16.27,4.765,97.8,1.576
2025-11-13_19-30-49,425,Marker OK (ID 0),0.028197,16.326,5.076,120.666,1.325
2025-11-13_19-30-50,454,Marker OK (ID 0),0.028197,16.439,5.414,149.052,1.046
2025-11-13_19-30-51,482,Marker OK (ID 0),0.028197,16.552,10.941,551.313,3.769
2025-11-13_19-30-52,511,Marker lost - using last scale,0.030837,18.41,11.934,753.765,4.6
2025-11-13_19-30-53,538,Marker OK (ID 0),0.028158,16.36,5.181,129.174,1.238
2025-11-13_19-30-54,567,Marker OK (ID 0),0.028197,16.355,4.794,100.25,1.539
2025-11-13_19-30-55,595,Marker OK (ID 0),0.028197,16.242,4.314,69.095,1.938
2025-11-13_19-30-56,623,Marker OK (ID 0),0.028197,16.326,4.427,76.269,1.835
2025-11-13_19-30-57,654,Marker OK (ID 0),0.028196,16.1,4.286,67.185,1.982
2025-11-13_19-30-58,689,Marker OK (ID 0),0.028199,16.13,4.343,70.331,1.932
2025-11-13_19-30-59,720,Marker OK (ID 0),0.028239,16.152,4.377,72.513,1.901
2025-11-13_19-31-00,753,Marker OK (ID 0),0.028199,16.102,4.399,73.663,1.892
2025-11-13_19-31-01,783,Marker OK (ID 0),0.028198,16.129,4.371,72.017,1.91
