Timestamp,Frame Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-13_20-15-25,1,Marker OK (ID 0),0.029056,15.981,4.184,21.84,2.082
2025-11-13_20-15-26,25,Marker OK (ID 0),0.028971,15.934,4.172,21.749,2.1
2025-11-13_20-15-27,52,Marker OK (ID 0),0.029014,15.958,4.178,21.75,2.091
2025-11-13_20-15-28,78,Marker OK (ID 0),0.028972,15.963,4.172,21.815,2.095
2025-11-13_20-15-29,104,Marker OK (ID 0),0.028971,15.992,10.893,439.372,3.771
2025-11-13_20-15-30,131,Marker OK (ID 0),0.029014,15.987,4.932,52.119,1.506
2025-11-13_20-15-31,158,Marker OK (ID 0),0.029012,16.131,4.526,34.423,1.788
2025-11-13_20-15-32,186,Marker OK (ID 0),0.029014,16.103,4.178,21.894,2.067
2025-11-13_20-15-33,213,Marker OK (ID 0),0.029099,16.092,4.045,16.269,2.176
2025-11-13_20-15-34,239,Marker OK (ID 0),0.02901,16.072,4.003,17.561,2.212
2025-11-13_20-15-35,266,Marker OK (ID 0),0.028926,16.083,4.021,21.419,2.196
2025-11-13_20-15-36,293,Marker OK (ID 0),0.028971,16.05,3.998,17.425,2.219
2025-11-13_20-15-37,320,Marker OK (ID 0),0.028843,16.065,4.038,24.122,2.185
2025-11-13_20-15-38,348,Marker OK (ID 0),0.028884,16.06,4.015,22.654,2.204
2025-11-13_20-15-39,375,Marker OK (ID 0),0.028885,16.06,4.015,22.354,2.204
2025-11-13_20-15-40,404,Marker OK (ID 0),0.028931,16.085,4.021,22.592,2.195
2025-11-13_20-15-41,432,Marker OK (ID 0),0.028889,16.033,3.987,20.109,2.231
2025-11-13_20-15-42,459,Marker OK (ID 0),0.028884,16.03,4.015,21.523,2.209
2025-11-13_20-15-43,486,Marker OK (ID 0),0.028884,16.059,4.015,21.796,2.204
2025-11-13_20-15-44,513,Marker OK (ID 0),0.028931,16.085,4.05,23.138,2.172
2025-11-13_20-15-45,542,Marker OK (ID 0),0.028928,16.084,4.021,21.499,2.196
2025-11-13_20-15-46,569,Marker OK (ID 0),0.028845,16.095,4.009,23.329,2.204
2025-11-13_20-15-47,596,Marker OK (ID 0),0.028974,16.08,4.027,19.812,2.191
2025-11-13_20-15-48,623,Marker OK (ID 0),0.02897,16.05,4.201,23.384,2.058
2025-11-13_20-15-49,650,Marker OK (ID 0),0.02901,16.101,4.119,20.553,2.115
